title,price,location
GPD P2 Max Core m3-8100Y/16GB/512GB Windows 10 Home,$599.00,from Japan
"Dell Latitude E5430-14""-Intel Core i5@2.50 GHz-6GB-320GB-Windows 10 Pro-WebCam",$119.99,from United States
Touchscreen Windows 11 Laptop - Dell 7390 / Intel i7-8650U / 16 GB / 256GB,$299.00,from United States
New ListingLot of (3) Dell Latitude E7470 Laptops 2.40GHz Core i7-6600U PARTS OR REPAIR,$199.99,from United States
"Lenovo IdeaPad 3 15ITL6 15.6"" 256GB SSD 12GB  Touch Screen Laptop",$31.00,from United States
"New Listing15.6"" Dell Latitude 5590 i5-8350U 1.70GHZ 256GB SSD 8GB Laptop Windows 10 Pro",$0.99,from United States
"HP 17-BY4013DX 17.3"" (256GB SSD, Intel Core i3-1115G4, 2.30GHz, 8GB RAM) Laptop",$280.00,from United States
"New ListingHP ProBook 450 G2 - J5P14UT#ABA, 15.6"", Core i5 1.7 GHz, 500 GB HDD - 8 GB Ram",$50.00,from United States
"New ListingHP 15.6 ""inch"" (256GB, Intel Core i3-10th Gen., 3,40GHz, 8GB) Laptop - Silver -",$210.00,from United States
"New ListingMicrosoft Surface Laptop (i7-7660U, 8GB RAM, 256GB SSD, W10 PRO 21H1)",$319.99,from United States
Lenovo Chromebook Laptop Intel 1.60 GHz 4 Memory Bluetooth Webcam HDMI WiFi,$99.99,from United States
New ListingSamsung Notebook Series 9 NP900X4B Intel I5 8GB Ram,$175.00,from United States
"New ListingHP PROBOOK 450 G7 i5-10210U 1.60GHZ 8GB 256GB SSD 15.6""FHD UHD620 W10P",$250.00,from United States
"New ListingLenovo Flex 4 14''( 500HDD, Intel Pentium Dual Core 2.1GHz, 4GB DDR4, Windows...",$229.00,from United States
"New Listing15.6"" Dell Latitude 5580 i5-6440HQ 2.60GHZ 256GB SSD 8GB Laptop Windows 10 Pro",$0.99,from United States
"New Listing15.6"" Dell Latitude 5580 i5-7440HQ 2.80GHZ 256GB SSD 8GB Laptop Windows 10 Pro",$0.99,from United States
New ListingNEW RAZER BLADE 15 '6 i7-11800H QHD 240Hz 32GB 1TB SSD RTX 3080 WIN 11 RZ09-0409,$178.48,from Canada
"New ListingDell Latitude E6430 14"" Intel Core i5 4 GB RAM 256 GB Laptop Computer [BY17]",$11.50,from United States
"New ListingLenovo ThinkPad X260 12.5"" Intel i5 8 GB RAM 500 GB HDD HDMI WiFi Win 10 Laptop",$100.00,from United States
"New ListingLenovo ThinkPad X260 12.5"" Intel i5 8 GB RAM 500 GB HDD HDMI WiFi Win 10 Laptop",$77.00,from United States
New ListingHP EliteBook 820 G1 Intel Core i5-4300 1.90 GHz 4GB RAM 320GB HD,$150.00,from United States
FAST Dell Latitude  Laptop Intel 4GB 250GB HDD Win10 Pro,$99.99,from United States
Lenovo ThinkPad X280 Laptop i5-8350U 1.7GHz 16GB 256GB SSD win 10P touchscreen,$320.00,from United States
"2021 Dell Inspiron 15.6"" Laptop Intel Celeron N4020,Upto 2.8GHz 16GB RAM&1TB SSD",$359.00 to $579.00,from United States
Dell Latitude 5580 Intel Core i7-7820U 2.90GHZ  4GB RAM 120GB SSD WINDOWS 11 PRO,$280.00,from United States
