title,price,location
New ListingDell Latitude Business Light Gaming Laptop Win 10 Intel Core i5 16GB RAM 2TB SSD,$359.99 to $759.99,from United States
"New ListingDell Latitude 7490 14"" Intel Core i7-8650U 1.9GHz 16GB RAM 500GB SSD",$339.99,from United States
"Lenovo N23 Chromebook Laptop 11.6"" Intel 1.6 GHz 4GB Ram Bluetooth WebCam HDMI",$124.99,from United States
DELL PRECISION 5520 32GB CORE i7-7820HQ NEW 512M.2 NVMe 10/11PRO GRADE B,$540.00,from United States
"Dell Chromebook 3120 11.6"" 11 Laptop Intel Celeron N2840 2.16GH 16GB SSD 4GB RAM",$49.95,from United States
Dell Latitude Laptop 15.4” HD Screen Intel 2.4GHz 4GB 1TB DVD-RW Windows 10 Pro,$174.99,from United States
"HP CHROMEBOOK G3 11.6"" WITH 4GB RAM CHROME OS WEBCAM HDMI NOTEBOOK CHEAP - C",$91.90,from United Kingdom
New Listingpanasonic toughbook cf-c2,$185.00,from United States
"NEW in hand - Samsung Galaxy Book2 Pro 360 15.6"" i7-1260P 16GB 1TB Graphite","$1,699.00",from United States
New ListingHP elitebook 820 G4,$200.00,from United States
New ListingHP elitebook 820 G4,$200.00,from United States
"New ListingNew Lenovo ideapad 5 15.6"" FHD i7-1065G7 8GB 256GB SSD Webcam FPReader Windows10",$599.00,from United States
New ListingDell E6420 XFR  WIN 11 Pro i5-252 2.80 8GB Ram 128 Gb SSD Backlit K  Battery ad,$200.00,from United States
"Lenovo N22 11.6"" HD Google Chromebook Intel 16GB SSD Wifi Webcam Bluetooth Good",$49.99,from United States
sony vaio duo11 svd1121apjb Core i3 1.80GHz/4GB/SSD64GB Windows 10 Pro,$260.00,from Japan
"New ListingMicrosoft Surface Pro 5 Tablet 12.3"" I5-7300 2.60GHZ 8 GB 256GB SSD Touchscreen",$224.99,from United States
"New ListingLibreboot Thinkpad T400 (SeaBIOS+Grub) 240GB SSD, 8GB RAM, 2.80GHz,1440x900",$359.00,from United States
New ListingHP EliteBook 8460p w/Dock 14” Laptop i5 8Gb RAM 500Gb HDD WIN10PRO FREE S/H,$146.55,from United States
New ListingHP EliteBook 850 G1 15.6” Laptop i5 4200U 1.7Ghz 8 GB RAM 256GB SSD WIN 10,$175.00,from United States
GPD POCKET UMPC Portable PC X7-Z8750 8GB/128GB SSD WIndows 10 silver,$326.00,from Japan
"New ListingDell Latitude E6440 14"" Intel i5 8 GB RAM 500 GB HDD WiFi HDMI USB Win 10 Laptop",$90.00,from United States
"New ListingNew Microsoft Surface Laptop 3 15"" AMD Ryzen 7 1TB SSD 32GB RAM Matte Black","$1,349.00",from United States
New Listingasus zenbook ux431f,$375.00,from United States
New ListingDell Latitude 7390 2-in-1 i7-8650U 1.90GHz 16GB 256GB SSD Win10 UTS0053170,$250.00,from United States
"Lenovo ThinkPad Intel Core i5 16GB RAM 14"" Laptop 1TB SSD Win10 WEBCAM",$269.99,from United States
PANASONIC TOUGHBOOK CF54 CF-54 i5 CPU 8GB RAM 256GB SSD  LIGHT AND RUGGED,$482.36,from Canada
New Listinghp envy 17.3 touchscreen laptop,$125.00,from United States
"Lenovo Laptop Computer Thinkpad Windows 10 PC 15.6"" Dual Core CPU 4GB 250GB DVD",$129.99,from United States
"BLACK Panasonic Toughbook CF-53  i5 2.5Ghz • 480GB SSD • 16GB • Backlit, Win10",$749.00,from Canada
New ListingDell Latitude 7290 i5-8350U@1.70GHz 16GB RAM 256GB SSD Win 10 | C1217,$249.99,from United States
HP Pavilion 15.6 Full-HD TouchScreen Intel Core i7 or i5 512GB SSD 8GB BT Laptop,$536.66 to $626.66,from United States
New ListingDell Latitude 7390 i7-8650u 16GB 512GB SSD Win 11 FHD Touchscreen,$99.00,from United States
"Microsoft Surface Pro 5 1796 12.3"" i7-7660U 2.5-4.0GHz 16GB 512GB NVMe SSD",$479.95,from United States
New ListingRazer Blade Pro 17 Gaming Laptop GeForce RTX 2080 intel i7 9th Gen NEW SEALED,"$1,500.00",from United States
"New Listing13.3"" Dell Latitude 3380 Celeron 3865U 1.80GHZ 4GB 500GB HDD Win 10 Pro Notebook",$39.99,from United States
Dell Latitude 5285 Tablet/Laptop Black i5-7300U 2.6GHz 8GB DDR3 128GB SSD -Fair,$134.60,from United States
"DELL LATITUDE Win 10 Pro CORE2 DUO 4GB RAM 500GB HD 15.4"" DVD-RW WIFI Charger",$118.00,from United States
New ListingDell Latitude E5470 i3-6100U 2.30GHz 8GB Webcam HDMI Laptop Notebook PC,$100.00,from United States
CHEAP FAST Mini Book Atom Laptop 2GB RAM 250GB HDD WINDOWS 7 Webcam Netbook WIFI,$72.20,from United Kingdom
"New ListingHP Pavilion DV9000 17"" Laptop AMD CPU 2GB RAM 100 + 80GB HDD",$10.00,from United States
"New ListingDell XPS 13 9310 Intel i7-1195G7 16GB 512GB SSD 13.4"" FHD+ Windows 11 Warranty","$1,149.00",from United States
"New ListingProstar 17"" Laptop i5 8GB RAM 500GB HDD Windows 10",$150.00,from United States
"Lenovo Thinkbook 14IIL 14"" FHD i5-1035G1 8GB 512GB SSD FPR Cam Win10Pro Warranty",$599.00,from United States
"New ListingDell Latitude 7490 14"" Intel i5-8350U 1.7GHz 16GB DDR4 256GB SSD Fair No COA",$279.99,from United States
"New ListingHP 255 G8 15.6"" HD Notebook Computer - SKU#1522912",$319.00,from United States
"New ListingDell Latitude 5490 14"" Touch Intel Core i5-7300U 2.60GHz 8GB RAM 256GB SSD",$239.99,from United States
New ListingLot Of 3 Dell Laptops For Parts Or Repair Boot To Bios + Hard Drives  Make OFFER,$151.00,from United States
"New ListingLenovo ThinkPad L14 Gen 2 14"" (Intel Core I7-1165G7, 16GB RAM, 476GB SSD) Win 10","$1,000.00",from United States
New ListingDell Latitude 7480 i7-7600U 2.80GHz 8GB 256GB SSD WIN10 Touchscreen Laptop PC,$250.00,from United States
Google Pixelbook i7 COA 512GB SSD 16GB RAM Touchscreen Chromebook TAB - Good,$389.99,from United States
Dell Latitude 5290 Tablet/Laptop Black i5-8350U 1.70GHz 8GB DDR3 128GB SSD Fair,$165.00,from United States
New ListingDELL LATITUDE 5590 15.6 INTEL i5-8250U 1.60GHz 4GB RAM 120GB SSD WINDOWS 11 PRO,$249.00,from United States
"New ListingSamsung Galaxy Book Flex2 Alpha 13"" Intel i5-1135G7 8GB 256GB NP730QDA-KB1US #1F",$499.95,from United States
"Google Pixelbook Go 13.3"" Not Pink 1.5GHz i7-8500Y 16GB 256GB - Good Condition",$637.99,from United States
"New ListingLenovo ThinkPad P15s Gen 1 Laptop 15.6"" i7-10510U 8GB RAM 256GB SSD Win 10 Pro","$1,149.95",from United States
"New ListingHP ProBook 11 G2 11.6"" Laptop Intel Core i3-6100U 2.30GHz 8GB RAM 128GB SSD #4",$59.99,from United States
"New ListingMicrosoft Surface Pro 5 Tablet 12.3"" I5-7300 2.60GHZ 8 GB 256GB SSD Touchscreen",$209.99,from United States
Dell Latitude E6540 Quad i7-4810MQ 2.80GHz 16GB 250GB SSD Win 10 Pro 2G HD 8790M,$289.95,from United States
New ListingHP EliteBook Folio 1040 G3 Ci7-6600U 2.6GHz 8GB 256SSD Audio Bang & Olufsen /W10,$350.00,from United States
"Lenovo ThinkPad X1 Carbon 8th Gen 14"" UHD i7-10510U 16GB 512GB SSD FPR IR Warran","$1,399.00",from United States
New ListingDell Latitude 7480 - i7-7600U 2.80GHz - 16GB RAM - 256GB M.2 SATA - W10P,$299.99,from United States
"New ListingLenovo T420 14"" Core I5-2520M 2.5GHz 8GB 500GB HDD Win10 Pro  Laptop (J509)",$34.95,from United States
New ListingHP EliteBook 8470P Core i5 3320M 8 GB 1TB (2x 500GB) HDD!,$129.00,from United States
Dell Latitude E6420 Laptop i5 256G ssd 8G W10P WEB cam Microsoft re-furbisher,$175.99,from United States
Dell Laptop Chromebook 11 3189 2 in 1 TouchScreen Intel N3060 32GB 4GB WIFI Good,$84.99,from United States
New ListingLenovo ThinkPad X1 Carbon i7-6600U 2.60GHz 8GB Webcam HDMI Laptop Notebook PC,$180.00,from United States
HP Chromebook 14 Laptop Intel 2955U 1.4GHz 4GB DDR3 16GB SSD WIFI Chrome OS HDMI,$69.95,from United States
"New ThinkPad P1 Gen4,16"" WQUXGA 4K,i7-11800H,8Core,NVIDIA T1200,32GB RAM,1TB SSD","$1,979.00",from United States
ASUS 14 FHD ExpertBook B9 Intel i7-1165G7 4.7GHz 2TB SSD 32GB RAM Windows 10 Pro,"$1,279.99",from United States
"New ListingHP EliteBook 850 G8 15.6"" Laptop Core i5 1145G7 - vPro - 16 GB RAM -  256GB SSD","$1,299.95",from United States
"New ListingAcer Travelmate P249 Notebook 14"" LCD i3-7100u 8GB RAM 256GB SSD Windows 10",$300.00,from United States
New ListingHP Revolve 810 4BG  240GB SSD Windows 10,$115.00,from United States
New ListingHP ZBook 17 CORE i5-4330M 2.8GHz 8GB 500GB NVIDIA Quadro K3100M,$310.00,from United States
"Dell Chromebook 3120 11.6"" Celeron N2840 2.16GHz 4GB RAM 16GB SSD Laptop - Good",$48.99,from United States
"Dell Chromebook 11 3180 11.6"" Laptop Intel Celeron N3060 2.5GHz 16GB SSD 4GB RAM",$15.99 to $59.99,from United States
"New ListingDell E7240 12.5"" i5-4300U 1.9GHz 8GB  256GB SSD Win 10 Pro camera with adapter",$140.00,from United States
"New ListingNew Lenovo ideapad 5 15.6"" FHD i5-1135G7 8GB 512GB SSD Webcam FPReader Windows10",$599.00,from United States
"Lenovo ThinkPad T14 Gen 1 14"" UHD 4K i7-10610U 16GB 1TB SSD IR Cam FPReader Wrty","$1,299.00",from United States
"New ListingMicrosoft Surface Pro 4 12.3"" Intel Core i5-6300U 2.5GHz 8GB RAM 256GB SSD W10P",$260.00,from United States
New ListingLenovo ThinkPad T480s INTEL i5-8350U TOUCH 256GB SSD 8GB RAM WINDOWS 11 PRO,$349.00,from United States
New ListingMSI Prestige 15 A12UD-010 15.6 inch Intel Core i7-1260P 1.5-4.7GHz/ 32GB,"$1,999.99",from United States
